2023-01-28 17:36:39,954 INFO    MainThread:37019 [wandb_setup.py:_flush():68] Configure stats pid to 37019
2023-01-28 17:36:39,955 INFO    MainThread:37019 [wandb_setup.py:_flush():68] Loading settings from /Users/sagar/.config/wandb/settings
2023-01-28 17:36:39,955 INFO    MainThread:37019 [wandb_setup.py:_flush():68] Loading settings from /Users/sagar/Desktop/Ace/Brovo5/wandb/settings
2023-01-28 17:36:39,955 INFO    MainThread:37019 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-28 17:36:39,955 INFO    MainThread:37019 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'playground.py', 'program': '/Users/sagar/Desktop/Ace/Brovo5/playground.py'}
2023-01-28 17:36:39,955 INFO    MainThread:37019 [wandb_init.py:_log_setup():476] Logging user logs to /Users/sagar/Desktop/Ace/Brovo5/wandb/run-20230128_173639-22gn5dtj/logs/debug.log
2023-01-28 17:36:39,955 INFO    MainThread:37019 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/sagar/Desktop/Ace/Brovo5/wandb/run-20230128_173639-22gn5dtj/logs/debug-internal.log
2023-01-28 17:36:39,955 INFO    MainThread:37019 [wandb_init.py:init():516] calling init triggers
2023-01-28 17:36:39,955 INFO    MainThread:37019 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-28 17:36:39,955 INFO    MainThread:37019 [wandb_init.py:init():569] starting backend
2023-01-28 17:36:39,956 INFO    MainThread:37019 [wandb_init.py:init():573] setting up manager
2023-01-28 17:36:39,965 INFO    MainThread:37019 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-28 17:36:39,967 INFO    MainThread:37019 [wandb_init.py:init():580] backend started and connected
2023-01-28 17:36:39,971 INFO    MainThread:37019 [wandb_init.py:init():658] updated telemetry
2023-01-28 17:36:39,971 INFO    MainThread:37019 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-28 17:36:40,240 INFO    MainThread:37019 [wandb_run.py:_on_init():2000] communicating current version
2023-01-28 17:36:40,301 INFO    MainThread:37019 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-01-28 17:36:40,301 INFO    MainThread:37019 [wandb_init.py:init():728] starting run threads in backend
2023-01-28 17:36:41,996 INFO    MainThread:37019 [wandb_run.py:_console_start():1980] atexit reg
2023-01-28 17:36:41,996 INFO    MainThread:37019 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-01-28 17:36:41,996 INFO    MainThread:37019 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-01-28 17:36:41,996 INFO    MainThread:37019 [wandb_run.py:_redirect():1925] Redirects installed.
2023-01-28 17:36:41,996 INFO    MainThread:37019 [wandb_init.py:init():765] run started, returning control to user process
